"Year","Sector","Type","Grouping","Species","Landings","Discards","DiscardMortality","TotalCatch","TotalMortality","Coefficients of Variation of Discard Ratios","CombinedSector","SuperCombined"
2002,"Directed P Halibut","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Vermilion Rockfish",0.00952553751247392,0,0,0.00952553751247392,0.00952553751247392,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Blackgill Rockfish",0.0307318787988751,0,0,0.0307318787988751,0.0307318787988751,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Redbanded Rockfish",0.0299466569899301,0,0,0.0299466569899301,0.0299466569899301,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Rougheye/Blackspotted Rockfish",0.280325954821736,0,0,0.280325954821736,0.280325954821736,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Shortraker Rockfish",0.0971890592397714,0,0,0.0971890592397714,0.0971890592397714,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Slope Rockfish Unid",0.262632677129638,0,0,0.262632677129638,0.262632677129638,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Splitnose Rockfish",0.00560237684840787,0,0,0.00560237684840787,0.00560237684840787,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Minor slope rockfish (North of 40°10' N. lat.)","Yellowmouth Rockfish",0.00345073936314978,0,0,0.00345073936314978,0.00345073936314978,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Pacific cod","Pacific Cod",0.0117935226344915,0,0,0.0117935226344915,0.0117935226344915,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Pacific ocean perch (North of 40°10' N. lat.)","Pacific Ocean Perch Rockfish",0.00589676131724576,0,0,0.00589676131724576,0.00589676131724576,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Petrale sole","Petrale Sole",0.012247119658895,0,0,0.012247119658895,0.012247119658895,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Sablefish (North of 36° N. lat.)","Sablefish",13.8826090900844,0,0,13.8826090900844,13.8826090900844,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Shortspine thornyhead (North of 34°27' N. lat.)","Shortspine Thornyhead",0.289848498593849,0,0,0.289848498593849,0.289848498593849,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Yelloweye rockfish","Yelloweye Rockfish",0.011339925610088,0,0,0.011339925610088,0.011339925610088,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Directed P Halibut","groundfish","Yellowtail rockfish (North of 40°10' N. lat.)","Yellowtail Rockfish",0.0190510750249478,0,0,0.0190510750249478,0.0190510750249478,"N/A","Directed P Halibut","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Arrowtooth flounder","Arrowtooth Flounder",1339.72140070761,0,0,1339.72140070761,1339.72140070761,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Bocaccio rockfish (South of 40°10' N. lat.)","Bocaccio Rockfish",0.256123559829448,0,0,0.256123559829448,0.256123559829448,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","California scorpionfish (South of 34°27' N. lat.)","California Scorpionfish",3.08495872267078,0,0,3.08495872267078,3.08495872267078,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Canary rockfish","Canary Rockfish",4.63351700988841,0,0,4.63351700988841,4.63351700988841,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Chilipepper rockfish (South of 40°10' N. lat.)","Chilipepper Rockfish",0.519669531887871,0,0,0.519669531887871,0.519669531887871,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Darkblotched rockfish","Darkblotched Rockfish",1.17193130908101,0,0,1.17193130908101,1.17193130908101,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Dover sole","Dover Sole",107.016134446158,0,0,107.016134446158,107.016134446158,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","English sole","English Sole",71.523029120929,0,0,71.523029120929,71.523029120929,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Lingcod (North of 40°10' N. lat.)","Lingcod",24.1810078925882,0,0,24.1810078925882,24.1810078925882,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Lingcod (South of 40°10' N. lat.)","Lingcod",1.27072031207475,0,0,1.27072031207475,1.27072031207475,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Longnose skate","Longnose Skate",5.43508119386737,0,0,5.43508119386737,5.43508119386737,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Longspine thornyhead (North of 34°27' N. lat.)","Longspine Thornyhead",6.66429665245396,0,0,6.66429665245396,6.66429665245396,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor nearshore rockfish (North of 40°10' N. lat.)","Quillback Rockfish (Washington/Oregon)",0.00362877619522816,0,0,0.00362877619522816,0.00362877619522816,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Bocaccio Rockfish",2.82583348453234,0,0,2.82583348453234,2.82583348453234,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Chilipepper Rockfish",0.0533609725120203,0,0,0.0533609725120203,0.0533609725120203,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Greenstriped Rockfish",4.82031207475279,0,0,4.82031207475279,4.82031207475279,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Redstripe Rockfish",0.741089857570534,0,0,0.741089857570534,0.741089857570534,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Rosethorn Rockfish",0.407487752880341,0,0,0.407487752880341,0.407487752880341,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Silvergray Rockfish",0.668965390547038,0,0,0.668965390547038,0.668965390547038,"N/A","Incidental","Commercial Non-Groundfish"
2002,"Incidental","groundfish","Minor shelf rockfish (North of 40°10' N. lat.)","Vermilion Rockfish",0.00185974780005443,0,0,0.00185974780005443,0.00185974780005443,"N/A","Incidental","Commercial Non-Groundfish"
